topic_id,topic_abbr,announcement
1,introductions,If you wish you may fill out the Trigger Warnings Questionnaire in Moodle.
1,introductions,Be sure to configure Slack notifications for our course. I also encourage you to download and install a Desktop version of Slack.
1,introductions,Course slides are [here](slides/Day1-Intro.html).
2,heg-backdrops, If you haven't yet please be comment on the welcome post in the `sds-237-discussion-threads` channel in our Slack workspace. You are always welcome to post links to relevant articles and/or questions for discussion here.
2,heg-backdrops, Course slides are [here](slides/Day2-Epstemologies.html)
2,heg-backdrops, Be sure to use the `sds-237-questions` channel in our Slack workspace if you run into issues with the course infrastructure set-up this week. 
2,heg-backdrops, Be sure to direct message me in Slack if you would like to lead a class discussion as an enrichment assignment.
2,heg-backdrops, There are two readings listed for Monday. You should read both but in Perusall you need only leave three comments *total* not *each*. 
3,metaphors, Course slides are [here](slides/Day3-BigDataDiscourse.html) 
3,metaphors, [Here](https://www.wired.com/2008/06/pb-theory/) is the article we will engage in today's activity. 
3,metaphors, Discourse Analysis in Nine Steps is [here](https://github.com/SDS-237-Data-Ethnography-Spring-22/portfolio/blob/main/mini-projects/discourse-analysis/discourse-analysis-worksheet.Rmd).
4,binary-oppositions,Course slides are [here](slides/Day4-BinaryOppositions.html)
4,binary-oppositions,Be sure to merge your branch into main if you haven't!
5,thick-data,Course slides are [here](slides/Day5-ThickDescription.html)
6,ethnography,Course slides are [here](slides/Day6-Reflexivity.html)
6,ethnography,Final project teams have been posted to Moodle. 
6,ethnography,Team contract due date was pushed to next Wednesday. 
7,looping-effects,Course slides are [here](slides/Day7-Looping.html).
8,ethics,
9,documentation,
10,commensurate,
11,infrastructure,
12,classifications,
13,ghost-work,
14,expertise,
15,incentives,
16,transactions,
17,rituals,
18,cooking,
19,mobilizing,
20,circulation,
21,citizen-science,
22,activism,
23,ignorance,
24,power,
25,final1,
26,final2,
